x,y,token
38.965153,31.690134,mortification
54.760975,33.865543,mrs
32.44094,-46.124023,threw
-5.315061,18.983568,due
24.019508,29.095894,decorum
28.122372,28.898228,produce
10.752552,45.69317,ought
1.0371614,1.8339202,whose
19.24269,23.866587,warm
-14.75489,-33.807964,sweet
-16.622921,28.731592,return
-36.57992,32.6926,goodness
-30.74396,18.160639,spirit
39.327866,40.872646,resolution
-20.586235,27.681257,pursue
-17.651276,27.039536,refrain
21.076614,40.593647,unreasonable
-27.313442,10.537578,anger
26.737028,-1.2242701,missing
7.9942093,19.270689,former
30.216246,32.978676,income
34.89337,-26.881643,still
33.05963,35.248547,comparison
54.034313,25.787958,enscombe
-21.670786,28.545473,cease
37.53363,-17.368208,once
22.56886,33.03304,considered
18.770042,39.78296,churchills
19.814898,14.461586,amazing
-11.546866,45.835857,worst
10.547738,26.179432,bargain
-24.086815,-1.7391181,child
31.770624,32.041237,expense
36.991627,10.702074,relieved
46.583298,-22.407372,boy
30.287682,14.169851,additional
18.10538,-25.576374,lingering
42.329037,28.21667,illness
-4.20728,19.868252,reconciliation
-55.364723,5.700828,kindred
-39.675087,-15.834064,offered
4.812174,17.861752,charge
50.448948,36.086132,frank
35.927197,28.373552,scruples
35.406696,28.097584,reluctance
23.657633,39.054,supposed
28.691998,47.147602,overcome
8.51182,12.30671,considerations
-2.7465267,8.545735,wealth
-22.928072,25.472876,seek
27.353107,41.10174,improve
24.059277,21.051552,complete
-20.768667,6.8666162,became
20.372099,36.855137,desirable
54.777126,21.17084,quitted
10.659131,24.780346,trade
-37.82402,22.054094,established
38.480114,25.978079,favourable
23.588808,-35.76935,opening
38.921906,39.793148,concern
50.74788,25.589983,leisure
40.75805,23.408995,occupation
25.334703,25.18969,pleasures
-59.785023,-30.117012,eighteen
41.61881,17.098562,realised
5.420138,16.041922,purchase
50.33681,17.804665,adjoining
8.263343,35.15594,longed
-35.617985,16.239706,according
33.94439,40.008247,wishes
20.158638,27.983698,friendly
45.77588,18.824594,begun
33.695835,37.703136,influence
42.56971,29.378012,schemes
-1.4663956,0.9616988,youth
-15.552984,-14.599841,shaken
33.788273,23.498377,determination
32.9915,13.451947,settling
12.35257,5.867111,sale
41.031296,-42.147457,forward
36.826046,-40.876118,steadily
14.675913,14.4399805,objects
23.923462,12.2587,view
-2.9702497,23.470613,accomplished
-7.788777,33.305176,bought
-1.47374,25.948006,obtained
8.147765,17.570381,beginning
0.35430303,-31.356623,new
27.001274,39.779415,probability
-9.108452,14.232286,greater
15.492371,37.03842,unhappy
39.550472,19.844374,secured
-70.95664,-15.372011,second
13.468492,26.07007,delightful
31.365423,38.188427,judging
-13.382474,46.473553,truly
28.859756,39.72711,proof
-15.104483,38.00917,choose
-33.977085,14.149741,chosen
30.439938,40.129414,excite
-0.94276273,6.831513,choice
3.148438,23.736889,heir
-12.64469,26.372545,assume
14.254329,39.444237,unlikely
38.006413,30.256891,assistance
29.846802,34.100277,apprehension
50.786892,31.556015,aunt
3.5508225,-0.5006838,capricious
29.387184,46.046696,governed
2.3283582,6.1523824,nature
11.33339,30.8057,caprice
-20.858923,4.488692,strong
12.489214,49.67683,affect
41.360825,-37.157696,saw
-14.565992,47.454716,report
-29.841013,-32.247444,fine
28.563194,15.664323,sufficiently
38.642864,20.053461,belonging
32.031048,40.85417,merits
32.559162,33.50516,prospects
16.92551,17.116411,common
49.555965,38.480576,frank_churchill
19.65479,28.285732,lively
37.25283,14.320982,curiosity
-8.72367,26.87382,prevailed
41.752766,38.373413,compliment
7.930108,10.4907675,achieved
17.267036,23.724934,generally
49.848564,24.827637,proposed
21.294416,39.511734,proper
39.857685,-33.99428,voice
53.01524,35.042786,perry
27.962791,-17.792309,drank
51.849895,33.966015,miss_bates
-41.018143,8.076188,strengthened
0.91489357,28.438848,understood
-19.725563,2.9534285,written
34.4209,44.92692,occasion
18.793541,7.09662,included
10.012333,43.175068,mention
35.930653,1.3548425,letter
-0.021228006,18.573977,heard
2.1091912,40.858913,says
35.591797,-2.895812,course
-6.9972825,13.501172,formed
21.739681,33.33114,pleasing
30.376753,20.256151,irresistible
17.4953,18.236841,sense
